City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,eirunepe,-6.6603,-69.8736,23.04,93,42,0.82,BR,1675816129
1,nikolskoye,59.7035,30.7861,-1.06,88,99,4.46,RU,1675816129
2,saint-philippe,-21.3585,55.7679,24.77,83,85,6.27,RE,1675816109
3,hermanus,-34.4187,19.2345,19.89,81,42,5.38,ZA,1675816074
4,shaoguan,24.8,113.5833,14.59,92,100,0.72,CN,1675816130
5,coahuayana,18.7333,-103.6833,26.67,66,3,2.44,MX,1675816131
6,punta arenas,-53.15,-70.9167,13.06,71,0,4.63,CL,1675815874
7,rikitea,-23.1203,-134.9692,26.44,70,84,5.01,PF,1675816085
8,port lincoln,-34.7333,135.8667,21.82,65,3,5.13,AU,1675816131
9,chokurdakh,70.6333,147.9167,-39.19,100,99,1.74,RU,1675815957
10,new norfolk,-42.7826,147.0587,16.51,42,8,0.69,AU,1675816076
11,khatanga,71.9667,102.5,-44.1,100,78,1.09,RU,1675816101
12,cherskiy,68.75,161.3,-35.21,98,100,2.37,RU,1675816097
13,verkhnyaya inta,65.9811,60.3094,-9.02,93,100,10.56,RU,1675816133
14,fukue,32.6881,128.8419,12.11,63,65,6.48,JP,1675816135
15,mount gambier,-37.8333,140.7667,19.33,52,15,4.33,AU,1675816110
16,barrow,71.2906,-156.7887,-17.99,78,100,3.6,US,1675815807
17,yuncheng,35.0231,110.9928,5.14,63,100,2.75,CN,1675816135
18,castro,-24.7911,-50.0119,17.53,93,13,2.17,BR,1675816136
19,east london,-33.0153,27.9116,21.69,86,100,5.63,ZA,1675816103
20,nador,35.174,-2.9287,13.14,88,40,4.12,MA,1675816136
21,mataura,-46.1927,168.8643,10.27,71,68,4.82,NZ,1675816076
22,salalah,17.0151,54.0924,20.05,49,0,2.06,OM,1675816137
23,plouzane,48.3833,-4.6167,3.03,73,0,4.12,FR,1675816137
24,skjervoy,70.0311,20.9714,4.0,69,75,9.57,NO,1675816138
25,saldanha,-33.0117,17.9442,18.04,89,24,7.26,ZA,1675816139
26,colares,38.7992,-9.4469,10.5,69,3,5.36,PT,1675815977
27,tuatapere,-46.1333,167.6833,12.76,62,66,6.77,NZ,1675816140
28,sakakah,29.9697,40.2064,7.28,63,3,5.3,SA,1675816015
29,hobart,-42.8794,147.3294,16.7,64,75,7.2,AU,1675816068
30,atuona,-9.8,-139.0333,25.86,78,13,6.68,PF,1675815952
31,mar del plata,-38.0023,-57.5575,23.94,90,1,5.81,AR,1675816044
32,vao,-22.6667,167.4833,26.59,70,33,5.53,NC,1675816141
33,kahului,20.8947,-156.47,27.01,74,40,10.8,US,1675815918
34,norman wells,65.282,-126.8329,-21.15,99,100,0.98,CA,1675816142
35,te anau,-45.4167,167.7167,13.8,44,55,5.0,NZ,1675816142
36,blagoyevo,63.3667,47.9167,-5.05,93,100,4.74,RU,1675816144
37,adrar,20.5022,-10.0711,15.87,22,98,4.85,MR,1675816083
38,bredasdorp,-34.5322,20.0403,19.29,75,91,3.98,ZA,1675816073
39,sampit,-2.5333,112.95,24.86,88,100,0.02,ID,1675816148
40,butaritari,3.0707,172.7902,27.35,79,100,9.69,KI,1675816085
41,dikson,73.5069,80.5464,-23.72,91,100,9.64,RU,1675816093
42,ushuaia,-54.8,-68.3,9.0,78,77,2.29,AR,1675816085
43,ulladulla,-35.35,150.4667,19.05,87,100,2.28,AU,1675816149
44,klaksvik,62.2266,-6.589,8.51,83,100,25.02,FO,1675816040
45,bluff,-46.6,168.3333,10.45,67,81,11.4,NZ,1675816087
46,katsuura,35.1333,140.3,10.56,76,98,7.72,JP,1675816151
47,burewala,30.1667,72.65,11.94,34,36,2.33,PK,1675816153
48,arraial do cabo,-22.9661,-42.0278,23.98,90,90,1.2,BR,1675815949
49,busselton,-33.65,115.3333,20.08,68,26,4.5,AU,1675816047
50,puerto ayora,-0.7393,-90.3518,26.97,90,31,4.47,EC,1675815842
51,juba,4.8517,31.5825,24.33,22,12,1.33,SS,1675816159
52,haines junction,60.7522,-137.5108,-2.58,92,67,1.93,CA,1675816163
53,cururupu,-1.8283,-44.8683,23.58,95,99,1.01,BR,1675816164
54,kamaishi,39.2667,141.8833,2.46,82,99,4.12,JP,1675816165
55,kulhudhuffushi,6.6221,73.07,26.68,69,72,2.52,MV,1675816173
56,thompson,55.7435,-97.8558,-15.91,78,100,1.54,CA,1675816090
57,cidreira,-30.1811,-50.2056,24.51,77,23,6.13,BR,1675816106
58,jamestown,42.097,-79.2353,8.9,73,100,4.12,US,1675816020
59,albany,42.6001,-73.9662,2.36,73,100,2.85,US,1675815797
60,pastavy,55.1168,26.8326,-4.87,96,97,2.73,BY,1675816182
61,husavik,66.0449,-17.3389,-4.24,69,77,5.37,IS,1675816077
62,huaidian,33.4333,115.0333,6.02,87,100,3.33,CN,1675816186
63,provideniya,64.3833,-173.3,-17.94,71,100,4.0,RU,1675816187
64,saint-joseph,-21.3667,55.6167,24.21,81,50,6.21,RE,1675816189
65,strezhevoy,60.7333,77.5889,-23.82,99,81,3.11,RU,1675816190
66,rio grande,-32.035,-52.0986,24.06,71,5,6.51,BR,1675816191
67,saskylakh,71.9167,114.0833,-32.78,99,99,0.61,RU,1675815899
68,kieta,-6.2167,155.6333,28.49,76,78,3.46,PG,1675816191
69,georgetown,5.4112,100.3354,24.97,83,20,2.57,MY,1675816013
70,kabompo,-13.5927,24.2008,16.84,99,99,2.34,ZM,1675816192
71,lake city,30.1897,-82.6393,19.25,63,0,0.0,US,1675816094
72,ucluelet,48.9329,-125.5528,7.17,80,48,9.02,CA,1675816193
73,champerico,14.3,-91.9167,27.15,64,22,4.21,GT,1675816193
74,clyde river,70.4692,-68.5914,-34.59,97,96,1.36,CA,1675816193
75,san patricio,28.017,-97.5169,24.05,76,100,8.06,US,1675816088
76,talnakh,69.4865,88.3972,-22.1,98,99,2.82,RU,1675816083
77,aksarka,66.5606,67.7975,-16.14,90,100,7.71,RU,1675816194
78,saint albans,51.75,-0.3333,1.8,97,11,2.06,GB,1675816194
79,manggar,-2.8833,108.2667,25.82,86,99,2.1,ID,1675816195
80,ponta do sol,32.6667,-17.1,16.11,67,16,2.26,PT,1675816087
81,tuktoyaktuk,69.4541,-133.0374,-32.0,75,100,1.03,CA,1675816195
82,lebu,-37.6167,-73.65,15.42,88,0,7.7,CL,1675816066
83,north platte,41.1239,-100.7654,4.65,75,0,2.68,US,1675816020
84,byron bay,-28.65,153.6167,25.52,61,99,3.94,AU,1675816021
85,codrington,-38.2667,141.9667,18.36,60,75,6.39,AU,1675816196
86,catamarca,-28.4696,-65.7852,32.1,38,37,1.79,AR,1675816028
87,mogadishu,2.0371,45.3438,24.47,85,34,7.94,SO,1675816197
88,cabo san lucas,22.8909,-109.9124,24.23,60,40,3.09,MX,1675816197
89,kapaa,22.0752,-159.319,27.18,84,75,6.69,US,1675816019
90,portland,45.5234,-122.6762,10.99,92,75,2.68,US,1675815992
91,torbay,47.6666,-52.7314,-4.12,86,100,9.83,CA,1675816019
92,bethel,41.3712,-73.414,2.58,73,40,2.57,US,1675815949
93,vaini,-21.2,-175.2,27.3,75,57,7.0,TO,1675816109
94,tomatlan,19.9333,-105.25,25.87,53,41,3.72,MX,1675816199
95,kodiak,57.79,-152.4072,-2.27,59,0,7.2,US,1675816199
96,sao joao da barra,-21.6403,-41.0511,24.56,89,100,1.77,BR,1675816199
97,san quintin,30.4833,-115.95,16.89,44,0,4.09,MX,1675816200
98,atar,20.5169,-13.0499,16.35,25,94,5.4,MR,1675816200
99,faya,18.3851,42.4509,11.29,67,6,1.52,SA,1675816201
100,nanortalik,60.1432,-45.2371,-15.3,72,8,8.65,GL,1675816205
101,londoko,49.0333,131.9833,-20.94,73,1,1.97,RU,1675816229
102,los llanos de aridane,28.6585,-17.9182,12.86,80,0,3.58,ES,1675816231
103,iqaluit,63.7506,-68.5145,-33.15,75,75,1.03,CA,1675816235
104,gat,31.61,34.7642,10.6,100,95,9.59,IL,1675816237
105,coihaique,-45.5752,-72.0662,18.97,59,18,2.57,CL,1675816162
106,nainpur,22.4333,80.1167,14.17,42,0,2.18,IN,1675816253
107,garden city,42.3256,-83.331,4.52,78,100,7.72,US,1675816253
108,puerto ayacucho,5.6639,-67.6236,28.04,59,94,1.21,VE,1675816254
109,saint-pierre,-21.3393,55.4781,24.82,78,75,2.06,RE,1675816255
110,rongcheng,30.634,117.8517,8.65,86,100,3.19,CN,1675816256
111,clovis,36.8252,-119.7029,15.47,61,100,2.57,US,1675815958
112,port hueneme,34.1478,-119.1951,22.51,31,40,6.17,US,1675816256
113,port alfred,-33.5906,26.891,20.66,91,100,0.45,ZA,1675816082
114,victoria,22.2855,114.1577,18.03,87,91,5.81,HK,1675816020
115,tasiilaq,65.6145,-37.6368,-16.91,35,2,17.27,GL,1675815960
116,hof,50.3167,11.9167,-5.3,86,5,1.34,DE,1675816257
117,batagay-alyta,67.8006,130.4114,-36.85,100,98,0.37,RU,1675816257
118,samarinda,-0.5,117.15,22.68,91,100,0.79,ID,1675816094
119,mackenzie,55.2999,-123.1698,-4.87,98,100,1.53,CA,1675816258
120,vanimo,-2.6741,141.3028,24.84,95,100,2.92,PG,1675816151
121,takanabe,32.1333,131.5,12.43,82,76,1.09,JP,1675816259
122,sri aman,1.2376,111.4621,23.73,97,95,0.22,MY,1675816058
123,chuy,-33.6971,-53.4616,22.36,75,45,4.17,UY,1675816259
124,marawi,7.9986,124.2928,22.62,68,100,0.86,PH,1675816260
125,cienaga de oro,8.8744,-75.6203,26.43,77,32,4.89,CO,1675816260
126,port hardy,50.6996,-127.4199,5.53,73,83,5.59,CA,1675816258
127,bud,39.447,-86.1758,11.97,68,100,2.88,US,1675816021
128,dingle,10.9995,122.6711,25.11,85,98,4.36,PH,1675816017
129,parabel,58.6978,81.4825,-18.12,98,98,2.47,RU,1675816261
130,roald,62.5833,6.1333,7.96,61,20,8.23,NO,1675816262
131,hofn,64.2539,-15.2082,0.43,61,100,9.83,IS,1675816266
132,hamilton,39.1834,-84.5333,12.58,85,100,4.12,US,1675816247
133,vardo,70.3705,31.1107,-0.01,86,75,10.29,NO,1675816270
134,hobyo,5.3505,48.5268,24.77,71,96,6.71,SO,1675816271
135,tekkali,18.6167,84.2333,19.27,86,6,2.01,IN,1675816273
136,pringsewu,-5.3582,104.9744,24.32,91,99,0.16,ID,1675816290
137,itarema,-2.9248,-39.9167,25.61,83,100,4.33,BR,1675816084
138,chumikan,54.7183,135.315,-28.51,82,76,5.25,RU,1675816293
139,asosa,10.0667,34.5333,18.77,33,1,2.65,ET,1675816110
140,vandavasi,12.5,79.6167,18.91,90,41,1.58,IN,1675816294
141,ketchikan,55.3422,-131.6461,3.99,87,100,3.09,US,1675816295
142,yellowknife,62.456,-114.3525,-18.58,77,100,2.68,CA,1675816079
143,sur,22.5667,59.5289,22.38,56,6,3.52,OM,1675816306
144,thinadhoo,0.5333,72.9333,27.1,73,55,2.7,MV,1675816312
145,fayaoue,-20.65,166.5333,25.93,86,100,11.02,NC,1675816313
146,quelimane,-17.8786,36.8883,23.69,94,98,1.78,MZ,1675816314
147,acapulco,16.8634,-99.8901,27.9,65,20,5.14,MX,1675816094
148,faanui,-16.4833,-151.75,27.18,74,31,5.57,PF,1675816078
149,aleksandrovsk-sakhalinskiy,50.8975,142.1561,-14.57,92,100,1.05,RU,1675816315
150,taoudenni,22.6783,-3.9836,18.69,19,73,4.99,ML,1675816099
151,shellbrook,53.2168,-106.4011,-4.71,92,96,3.02,CA,1675816315
152,beloha,-25.1667,45.05,23.32,81,100,3.64,MG,1675816017
153,port elizabeth,-33.918,25.5701,20.73,91,100,1.79,ZA,1675816087
154,aykhal,66.0,111.5,-38.88,100,96,1.38,RU,1675816316
155,ribeira grande,38.5167,-28.7,12.65,68,57,4.02,PT,1675816097
156,nevers,46.9167,3.3333,-1.91,81,5,0.9,FR,1675816316
157,avera,33.194,-82.5271,14.73,55,93,1.58,US,1675816049
158,nueve de julio,-35.4444,-60.8831,28.24,25,0,2.89,AR,1675816317
159,esperance,-33.8667,121.9,20.81,66,100,4.47,AU,1675816128
160,beringovskiy,63.05,179.3167,-27.04,94,92,3.44,RU,1675816318
161,rudnyy,52.9594,63.1206,-19.87,100,89,3.64,KZ,1675816318
162,sinnamary,5.3833,-52.95,24.29,90,27,4.64,GF,1675816073
163,oistins,13.0667,-59.5333,25.05,83,40,7.2,BB,1675816319
164,pemberton,50.3164,-122.8027,4.83,92,77,3.21,CA,1675816319
165,bargi,22.9833,79.8667,13.43,40,0,0.99,IN,1675816319
166,tvedestrand,58.622,8.9315,4.7,86,100,5.31,NO,1675816320
167,hithadhoo,-0.6,73.0833,27.31,71,11,3.89,MV,1675816321
168,leningradskiy,69.3833,178.4167,-31.43,96,100,2.43,RU,1675816084
169,kitimat,54.0524,-128.6534,1.21,31,87,0.98,CA,1675816321
170,sisimiut,66.9395,-53.6735,-25.4,95,100,1.3,GL,1675816322
171,vytegra,61.0064,36.4481,-3.75,89,100,3.95,RU,1675816325
172,kruisfontein,-34.0033,24.7314,19.38,82,100,2.1,ZA,1675816332
173,pevek,69.7008,170.3133,-29.82,93,100,1.35,RU,1675816147
174,cap malheureux,-19.9842,57.6142,24.7,82,50,0.45,MU,1675816337
175,tura,25.5198,90.2201,16.13,50,93,1.6,IN,1675816338
176,krasnohrad,49.3814,35.4402,-8.65,85,6,5.69,UA,1675816353
177,ranong,9.9658,98.6348,25.07,84,10,2.09,TH,1675816364
178,burns lake,54.2331,-125.7533,-2.32,96,98,1.01,CA,1675816364
179,tortoli,39.9256,9.6572,6.09,66,60,2.67,IT,1675816364
180,henties bay,-22.116,14.2845,18.24,89,26,2.21,NA,1675816370
181,hurghada,27.2574,33.8129,12.31,51,80,6.97,EG,1675816200
182,tiksi,71.6872,128.8694,-33.8,100,100,2.1,RU,1675816076
183,puksoozero,62.5903,40.6066,-2.32,94,100,5.04,RU,1675816372
184,severo-kurilsk,50.6789,156.125,-4.1,54,12,4.38,RU,1675816373
185,saint-augustin,51.226,-58.6502,-19.86,88,16,1.89,CA,1675816075
186,cape town,-33.9258,18.4232,21.06,72,22,5.36,ZA,1675815824
187,riyadh,24.6877,46.7219,13.08,39,75,3.23,SA,1675816124
188,oranjemund,-28.55,16.4333,17.4,90,98,7.48,NA,1675816374
189,nadym,65.5333,72.5167,-22.24,94,80,5.18,RU,1675816374
190,amarante do maranhao,-5.5667,-46.7422,22.17,98,100,1.03,BR,1675816375
191,avare,-23.0986,-48.9258,18.91,92,97,2.47,BR,1675816375
192,souillac,-20.5167,57.5167,26.21,83,75,5.14,MU,1675816376
193,agirish,61.9247,63.0231,-18.8,96,100,3.28,RU,1675816376
194,horadiz,39.4488,47.3353,4.43,75,100,3.54,AZ,1675816376
195,caxito,-8.5785,13.6643,23.24,88,97,1.64,AO,1675816377
